logo_path,name,link,status,usd_raised,month,year,token_sale_price,current_token_price,token_return,roi,erc20,
http://res.cloudinary.com/dbyoymbpd/image/upload/v1501645229/storj-x_gcgurr.png,Storj-x,http://blog.storj.io/post/146711695563/what-is-storj-part-1-of-3-the-storj-network,Completed,461802,14-Aug,2014,0.01,0.37,40.78x,GREEN,FALSE,
http://res.cloudinary.com/dbyoymbpd/image/upload/v1501645125/contingency_fdgayo.png,Contingency,https://contingency.tech/Contingency-Whitepaper.pdf,Completed,367078,17-Feb,2017,,,,BLUE,FALSE,
http://res.cloudinary.com/dbyoymbpd/image/upload/v1501645094/apptrade_fzxpuk.png,Apptrade,http://crowdfund.etheroll.com/etheroll-whitepaper.pdf,Completed,361826,17-Apr,2017,,,,BLUE,FALSE,
http://res.cloudinary.com/dbyoymbpd/image/upload/v1501645082/etheroll_p3zcwz.png,Etheroll,http://crowdfund.etheroll.com/etheroll-whitepaper.pdf,Completed,304295,17-Feb,2017,0.07,5.41,80.05x,GREEN,FALSE,
http://res.cloudinary.com/dbyoymbpd/image/upload/v1501645072/blockcdn_c4owqf.png,BlockCDN,http://www.blockcdn.org/pdf.jsp,Completed,303000,16-Dec,2016,,,,BLUE,FALSE,
http://res.cloudinary.com/dbyoymbpd/image/upload/v1502232875/m85VfaHD_400x400_qf4zsf.png,Creativechain,http://creativechain.org/whitepaper/,Completed,298331,17-May,2017,0.04,0.21,5.51x,GREEN,FALSE,
http://res.cloudinary.com/dbyoymbpd/image/upload/v1502233055/octanox_otx_n5rpub.png,Octanox,https://octanox.org/whitepaper.pdf,Completed,297414,17-Jun,2017,0.07,0.1,1.40x,GREEN,FALSE,
http://res.cloudinary.com/dbyoymbpd/image/upload/v1501645008/mass_coin_qdwn8u.png,Mass coin,https://mass.network/mass-whitepaper.pdf,Completed,252432,16-Dec,2016,,,,BLUE,FALSE,
http://res.cloudinary.com/dbyoymbpd/image/upload/v1501644987/gilgames_sqntk6.png,Gilgames,https://ico.gilgam.es/whitepaper/Gilgam.es.whitepaper.pdf,Completed,251074,17-Jul,2017,,,,BLUE,FALSE,
http://res.cloudinary.com/dbyoymbpd/image/upload/v1501644965/cryptoforecast_hukwjk.png,Cryptoforecast,https://www.cryptoforecast.com/static/static/WhitePaper_V1.0.pdf,Completed,249000,17-May,2017,0.01,0.01,2.03x,GREEN,FALSE,
http://res.cloudinary.com/dbyoymbpd/image/upload/v1501644935/bitcrystals_spells_of_genesis_ov29fp.png,Bitcrystals (Spells of Genesis),https://www.tokendata.io/bitcrystals.github.io,Completed,200000,15-Sep,2015,0.02,0.33,22.42x,GREEN,FALSE,
http://res.cloudinary.com/dbyoymbpd/image/upload/v1501644829/eboost_m4sfjn.png,eBoost,,Completed,140000,16-Oct,2016,,,,BLUE,FALSE,
http://res.cloudinary.com/dbyoymbpd/image/upload/v1501644810/santiment_pre-sale_u3kjdq.png,Santiment (pre-sale),https://docs.google.com/document/d/1YIoMRuHQ4VgTwqHg7aGJko05GsO68RKO0_W3KPziPIU/edit,Completed,135000,17-Feb,2017,,0.19,,BLUE,FALSE,
http://res.cloudinary.com/dbyoymbpd/image/upload/v1501644768/beyond_the_void_k1ndow.png,Beyond the Void,,Completed,115500,16-Nov,2016,0,0.14,34.27x,GREEN,FALSE,
